"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
1999-10-01,3844,823,1439,92,338,572,107,11315,158,353,508,167,311,68,1109,1342,39
1999-11-01,4354,838,1664,112,447,703,115,12870,195,354,568,167,280,81,1262,1611,44
1999-12-01,4381,833,1688,86,410,744,127,13017,209,368,724,221,304,89,1227,1512,56
2000-01-01,3525,759,1542,105,360,471,127,10964,157,275,632,157,234,59,1104,1363,48
2000-02-01,4670,881,2097,116,497,1096,131,15191,200,426,876,159,315,93,1431,2059,69
2000-03-01,5043,1045,2228,118,495,895,148,15947,226,425,1035,205,359,98,1660,1864,57
2000-04-01,3498,740,1348,98,348,597,102,10926,144,320,507,137,243,78,1177,1517,40
2000-05-01,4755,1080,1696,133,457,745,135,14282,240,417,715,217,301,85,1333,1857,75
2000-06-01,4523,871,1681,110,448,759,145,13225,180,458,539,179,299,74,1311,1547,62
2000-07-01,4625,926,1706,122,431,755,118,13209,184,372,500,195,309,88,1251,1494,56
2000-08-01,4571,905,1595,126,422,718,141,13178,170,402,453,188,292,86,1297,1722,56
2000-09-01,4123,790,1511,97,467,644,115,12015,189,328,489,174,303,73,1183,1438,56
2000-10-01,4425,932,1571,107,345,663,110,12666,176,394,519,168,290,95,1163,1612,47
2000-11-01,4427,922,1544,96,439,752,120,12802,186,380,641,139,277,78,1216,1515,40
2000-12-01,4113,736,1591,105,376,686,131,12280,176,414,578,213,319,69,1194,1491,51
2001-01-01,3947,711,1559,112,365,624,106,11956,152,349,729,202,241,68,1163,1549,51
2001-02-01,5109,963,2217,125,434,909,97,15528,184,379,915,184,338,67,1520,1982,64
2001-03-01,5298,1061,2034,141,424,984,135,16205,207,406,1014,232,366,97,1696,2006,47
2001-04-01,4320,816,1682,105,381,635,116,12583,196,368,564,171,274,76,1209,1578,45
2001-05-01,4721,1025,1781,126,410,761,129,14080,196,436,621,194,333,97,1371,1755,53
2001-06-01,4283,883,1595,115,373,678,103,12744,167,362,469,184,305,62,1182,1816,36
2001-07-01,4551,1133,1766,119,419,765,117,14013,173,457,533,205,323,95,1370,1740,59
2001-08-01,4891,900,1682,112,417,690,148,13834,177,355,444,185,332,93,1468,1667,59
2001-09-01,4376,940,1396,108,415,631,121,12309,171,327,507,187,249,72,1082,1517,48
2001-10-01,4425,910,1657,130,411,713,117,13048,196,404,514,155,322,91,1223,1584,50
2001-11-01,4696,912,1678,118,421,755,118,13750,154,388,609,188,301,70,1382,1750,47
2001-12-01,4244,850,1574,103,366,729,123,12505,157,338,689,208,286,69,1162,1443,47
2002-01-01,3860,692,1533,96,365,598,123,11889,161,300,753,198,266,56,1202,1522,61
2002-02-01,5149,897,2071,121,369,980,115,15908,186,424,978,260,292,91,1624,2123,68
